Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
35,Ben Rice*,27,NYY,AL,3.3,145,628,542,98,142,22,3,38,92,3,0,78,152,.262,.360,.524,.884,143,.385,144,284,11,6,0,2,4,D3/H,AS,ricebe01
36,Luis Arraez*,29,2TM,NL,3.2,144,626,570,66,180,33,7,6,61,10,1,33,26,.316,.352,.430,.781,117,.346,116,245,15,5,6,12,4,*4/H5D,AS,arraelu01
36,Luis Arraez*,29,SFG,NL,3.0,105,464,420,52,136,23,7,4,43,10,0,25,21,.324,.360,.440,.801,126,.356,126,185,7,4,6,9,4,*4/5DH,,arraelu01
36,Luis Arraez*,29,PHI,NL,0.2,39,162,150,14,44,10,0,2,18,0,1,8,5,.293,.327,.400,.727,94,.315,89,60,8,1,0,3,0,4/H,,arraelu01
37,Jo Adell,27,2TM,AL,0.2,150,620,568,65,136,25,1,22,92,4,0,29,151,.239,.295,.403,.698,98,.314,100,229,17,18,0,5,1,*97D/H8,,adelljo01
37,Jo Adell,27,LAA,AL,-0.2,111,456,423,46,101,16,1,16,62,3,0,16,108,.239,.287,.395,.682,94,.303,92,167,12,14,0,3,0,*9/7D8H,,adelljo01
37,Jo Adell,27,CLE,AL,0.5,39,164,145,19,35,9,0,6,30,1,0,13,43,.241,.317,.428,.745,110,.347,121,62,5,4,0,2,1,9/7DH,,adelljo01
38,Freddie Freeman*,36,LAD,NL,2.7,144,619,543,72,159,32,1,16,66,7,0,65,106,.293,.370,.444,.814,124,.360,124,241,20,5,0,6,3,*3/D,AS,freemfr01
39,Daylen Lile*,23,WSN,NL,2.0,151,619,569,77,143,27,8,21,85,15,7,39,121,.251,.304,.438,.741,102,.321,97,249,6,6,0,5,3,*7D9H,,lileda01
40,Julio Rodríguez,25,SEA,AL,2.8,142,619,564,68,137,24,0,21,66,22,3,46,140,.243,.304,.397,.701,102,.317,102,224,9,5,0,4,3,*8/DH,,rodriju01
41,Brandon Nimmo*,33,TEX,AL,1.5,146,618,559,59,147,34,4,14,61,7,1,48,136,.263,.327,.413,.740,114,.327,112,231,12,7,0,4,2,*9/D8H,,nimmobr01
42,CJ Abrams*,25,WSN,NL,4.5,143,617,546,88,144,30,3,30,96,29,6,53,150,.264,.339,.495,.833,126,.366,125,270,9,12,0,6,3,*6D/4H,AS,abramcj01
43,Brandon Lowe*,31,PIT,NL,4.9,141,617,550,89,143,28,1,31,88,2,0,58,179,.260,.329,.484,.813,117,.352,115,266,6,2,0,7,1,*4D/H,,lowebr01
44,Isaac Paredes,27,HOU,AL,3.8,145,615,526,62,135,26,1,21,86,0,0,64,84,.257,.354,.430,.784,123,.355,128,226,16,19,0,6,0,*53/D4H,,paredis01
45,Chase Meidroth,24,CHW,AL,3.9,146,613,539,83,146,29,0,14,56,3,2,59,135,.271,.346,.403,.749,109,.335,111,217,8,5,5,4,0,*46/5H,,meidrch01
46,Josh Naylor*,29,SEA,AL,0.8,143,612,562,57,153,22,0,10,52,29,7,42,77,.272,.327,.365,.692,101,.320,103,205,17,5,0,2,3,*3,,naylojo01
47,Carson Benge*,23,NYM,NL,3.4,146,609,555,78,150,19,3,18,58,22,5,46,134,.270,.333,.413,.746,109,.341,114,229,7,7,0,1,1,*978/HD,,bengeca01
48,William Contreras,28,MIL,NL,2.6,139,607,538,80,146,26,1,17,86,1,2,57,88,.271,.341,.418,.759,109,.333,108,225,13,4,0,8,6,*2D/H,AS,contrwi02
49,Cole Young*,22,SEA,AL,4.3,152,606,551,71,136,18,4,17,65,3,5,38,104,.247,.309,.387,.696,101,.307,101,213,9,13,1,3,0,*4/6H,,youngco01
50,Colson Montgomery*,24,CHW,AL,1.9,144,604,536,68,109,23,0,31,84,1,1,52,211,.203,.290,.420,.710,96,.313,95,225,7,14,0,2,3,*65/DH,,montgco01
